"standard","reference_rt_min","erah_rt_min","eic_rt_min","erah_eic_delta_sec","characteristic_mz","expected_rt_min","selected_factor","source_cdf"
"tetracosane-d50",50.1545,50.1545,50.2394978841146,5.09987304687513,66,50.7,12,"${PROJECT_DIR}/RI/C7-C40-IS.cdf"
"chrysene-d12",51.9803,51.9803,52.0689005533854,5.31603320312513,240,52.7,15,"${PROJECT_DIR}/RI/C7-C40-IS.cdf"
